kinase,ensemble,iteration,class_label,draw,site
KINASE_A,1,1,1,1,SITE_A
KINASE_A,1,1,1,2,SITE_B
KINASE_A,1,1,1,3,SITE_C
KINASE_A,1,1,2,1,SITE_D
KINASE_A,1,1,2,2,SITE_E
KINASE_A,1,1,2,3,SITE_F
KINASE_A,1,2,1,1,SITE_B
KINASE_A,1,2,1,2,SITE_B
KINASE_A,1,2,1,3,SITE_A
KINASE_A,1,2,2,1,SITE_E
KINASE_A,1,2,2,2,SITE_D
KINASE_A,1,2,2,3,SITE_F
KINASE_B,1,1,1,1,SITE_E
KINASE_B,1,1,1,2,SITE_F
KINASE_B,1,1,1,3,SITE_D
KINASE_B,1,1,2,1,SITE_C
KINASE_B,1,1,2,2,SITE_B
KINASE_B,1,1,2,3,SITE_A
KINASE_B,1,2,1,1,SITE_F
KINASE_B,1,2,1,2,SITE_E
KINASE_B,1,2,1,3,SITE_E
KINASE_B,1,2,2,1,SITE_B
KINASE_B,1,2,2,2,SITE_C
KINASE_B,1,2,2,3,SITE_A
